Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Shown on Collection Page (product.metafields.custom.shown_on_collection_page),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color Family (product.metafields.product.color_family),Style Family (product.metafields.product.style_name),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,generated_tags
classic-clutch-purple-haze,Classic Clutch,"<p>Hand marbled, vegetable tanned leather clutch with solid brass snap closure. Perfect for any time you're dressed up.<br><br></p>
<p><strong>Features:</strong><br>• Heavy duty vegetable tanned leather<br>• Hand marbled in a colorful palette<br><br><strong>Measures:</strong><br><span data-sheets-userformat='{""2"":12929,""3"":{""1"":0},""10"":2,""12"":0,""15"":""Arial"",""16"":11}' data-sheets-value='{""1"":2,""2"":""width: 12in \nheight: 7in ""}'>• 12in wide, 7in tall <br><br></span><br></p>",Glad & Young Studio,Uncategorized,Bag,"Bag, Featured, Marbled, Shop, vegetable tanned",False,Title,Purple Haze,,,,,,,,CLUTCH-PHZ,340.1942775,shopify,continue,manual,115.0,115.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/ClassicClutch_MarbledNeutral_PurpleHaze_1_1.png?v=1773419790,1.0,,False,Classic Clutch - Glad & Young Studio,"Hand marbled, vegetable tanned leather clutch with solid brass snap closure. Perfect for any time you're dressed up. ",,female,adult,,,,,,,,,,,,,,,,,,oz,,27.28,draft,"[""leather-clutch"", ""vegetable-tanned"", ""hand-marbled"", ""brass-snap-closure"", ""evening-bag""]"
classic-clutch-golden-girl,Classic Clutch,"<p>Hand marbled, vegetable tanned leather clutch with solid brass snap closure. Perfect for any time you're dressed up.<br><br></p>
<p><strong>Features:</strong><br>• Heavy duty vegetable tanned leather<br>• Hand marbled in a colorful palette<br><br><strong>Measures:</strong><br><span data-sheets-userformat='{""2"":12929,""3"":{""1"":0},""10"":2,""12"":0,""15"":""Arial"",""16"":11}' data-sheets-value='{""1"":2,""2"":""width: 12in \nheight: 7in ""}'>• 12in wide, 7in tall <br><br></span><br></p>",Glad & Young Studio,Uncategorized,Bag,"Bag, Featured, Marbled, Shop, vegetable tanned",False,Title,Golden Girl,,,,,,,,CLUTCH-GOGI,340.1942775,shopify,continue,manual,115.0,115.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/ClassicClutch_MarbledNeutral_GoldenGirl_1_1.png?v=1773419790,1.0,,False,Classic Clutch - Glad & Young Studio,"Hand marbled, vegetable tanned leather clutch with solid brass snap closure. Perfect for any time you're dressed up. ",,female,adult,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/ClassicClutch_MarbledNeutral_GoldenGirl_1_1.png?v=1773419790,oz,,27.28,draft,"[""leather-clutch"", ""vegetable-tanned"", ""hand-marbled"", ""brass-snap-closure"", ""evening-bag""]"
classic-clutch-golden-girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/ClassicClutch_MarbledNeutral_GoldenGirl_2_1.png?v=1773419790,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""leather-clutch"", ""vegetable-tanned"", ""hand-marbled"", ""brass-snap-closure"", ""evening-bag""]"
classic-clutch-golden-girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/ClassicClutch_MarbledNeutral_PurpleHaze_1_1.png?v=1773419790,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""leather-clutch"", ""vegetable-tanned"", ""hand-marbled"", ""brass-snap-closure"", ""evening-bag""]"
classic-clutch-happy-hour,Classic Clutch,"<p>Hand marbled, vegetable tanned leather clutch with solid brass snap closure. Perfect for any time you're dressed up.<br><br></p>
<p><strong>Features:</strong><br>• Heavy duty vegetable tanned leather<br>• Hand marbled in a colorful palette<br><br><strong>Measures:</strong><br><span data-sheets-userformat='{""2"":12929,""3"":{""1"":0},""10"":2,""12"":0,""15"":""Arial"",""16"":11}' data-sheets-value='{""1"":2,""2"":""width: 12in \nheight: 7in ""}'>• 12in wide, 7in tall <br><br></span><br></p>",Glad & Young Studio,Uncategorized,Bag,"Bag, Featured, Marbled, Shop, vegetable tanned",False,Title,Happy Hour,,,,,,,,CLUTCH-HAPY,340.1942775,shopify,continue,manual,115.0,0.0,True,True,,,,,,,,,False,Classic Clutch - Glad & Young Studio,"Hand marbled, vegetable tanned leather clutch with solid brass snap closure. Perfect for any time you're dressed up. ",,female,adult,,,,,,,,,,,Blue,,,,,,,oz,,27.28,draft,"[""leather-clutch"", ""vegetable-tanned"", ""hand-marbled"", ""brass-snap-closure"", ""evening-bag""]"
classic-clutch-blue-lagoon,Classic Clutch,"<p>Hand marbled, vegetable tanned leather clutch with solid brass snap closure. Perfect for any time you're dressed up.<br><br></p>
<p><strong>Features:</strong><br>• Heavy duty vegetable tanned leather<br>• Hand marbled in a colorful palette<br><br><strong>Measures:</strong><br><span data-sheets-userformat='{""2"":12929,""3"":{""1"":0},""10"":2,""12"":0,""15"":""Arial"",""16"":11}' data-sheets-value='{""1"":2,""2"":""width: 12in \nheight: 7in ""}'>• 12in wide, 7in tall <br><br></span><br></p>",Glad & Young Studio,Uncategorized,Bag,"Bag, Featured, Marbled, Shop, vegetable tanned",False,Title,Blue Lagoon,,,,,,,,CLUTCH-BLUL,340.1942775,shopify,continue,manual,115.0,0.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/ClassicClutch_MarbledColorful_BlueLagoon_1.png?v=1714755937,1.0,,False,Classic Clutch - Glad & Young Studio,"Hand marbled, vegetable tanned leather clutch with solid brass snap closure. Perfect for any time you're dressed up. ",,female,adult,,,,,,,,,,,Blue,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/ClassicClutch_MarbledColorful_BlueLagoon_1.png?v=1714755937,oz,,27.28,draft,"[""leather-clutch"", ""vegetable-tanned"", ""hand-marbled"", ""brass-snap-closure"", ""evening-bag""]"
classic-clutch-blue-lagoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/ClassicClutch_MarbledColorful_BlueLagoon_2.png?v=1714755937,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""leather-clutch"", ""vegetable-tanned"", ""hand-marbled"", ""brass-snap-closure"", ""evening-bag""]"
bottle-caddy-brown,Bottle Caddy,,Glad & Young Studio,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Drink Sleeves > Can & Bottle Sleeves,,,False,Title,Brown,,,,,,,,CAD-CAFE,206.9515188125,shopify,continue,manual,65.0,,True,True,,,,,,,,,False,,,4521.0,,,,,,,,,,,,,,,,,,,,oz,,21.61,draft,"[""bottle-holder"", ""leather"", ""everyday-carry""]"
bottle-caddy-black,Bottle Caddy,,Glad & Young Studio,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Drink Sleeves > Can & Bottle Sleeves,,,False,Title,Black,,,,,,,,CAD-ONYX,206.9515188125,shopify,continue,manual,65.0,,True,True,,,,,,,,,False,,,4521.0,,,,,,,,,,,,,,,,,,,,oz,,21.61,draft,"[""bottle-holder"", ""leather"", ""everyday-carry""]"
stadium-sling-blk-hardware-temporary,Stadium Sling (BLK HARDWARE - PCM),"<p class=""p1""><br></p>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>",Glad & Young Studio,Uncategorized,Bag,"Bag, Fanny, Featured, Shop",False,Title,Red + Black Hardware,,,,,,,,STAD-PCM,396.89332375,shopify,continue,manual,130.0,,True,True,,,,,'45158123,,,,False,Modern Leather Fanny Pack - Glad & Young Studio,"Ready to join the club or here to add another color to your collection? Our best selling bag is as versatile as they come. Wear it cross body, across your hips, at your natural waist, or over your shoulder. ",,female,adult,,,True,,,,,,,True,,,,,,,,oz,,46.37,active,"[""crossbody-sling"", ""vinyl-bag"", ""brass-fittings"", ""event-bag""]"
