Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Shown on Collection Page (product.metafields.custom.shown_on_collection_page),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color Family (product.metafields.product.color_family),Style Family (product.metafields.product.style_name),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,generated_tags
stadium-sling-blk-hardware-temporary,Stadium Sling (BLK HARDWARE - PCM),"<p class=""p1""><br></p>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>",Glad & Young Studio,Uncategorized,Bag,"Bag, Fanny, Featured, Shop",False,Title,Red + Black Hardware,,,,,,,,STAD-PCM,396.89332375,shopify,continue,manual,130.0,,True,True,,,,,'45158123,,,,False,Modern Leather Fanny Pack - Glad & Young Studio,"Ready to join the club or here to add another color to your collection? Our best selling bag is as versatile as they come. Wear it cross body, across your hips, at your natural waist, or over your shoulder. ",,female,adult,,,True,,,,,,,True,,,,,,,,oz,,46.37,active,"type:sling, color:red, use:everyday, use:outdoor, price-tier:premium-81-200, stock:featured, attr:blk-hardware, attr:young-studio, ai-flag:schema-complete"
travelers-journal-happy-hour,Traveler's Journal,"<p>The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Journal holds three <meta charset=""utf-8""><span data-mce-fragment=""1"">A5 (</span><span data-mce-fragment=""1"">8.25x5.5</span><span data-mce-fragment=""1"">in)</span> notebooks and is refillable, fun, and totally addicting.</p>
<p>Full Grain, hand marbled, vegetable tanned leather cover and elastic closure.<br></p>
<p><meta charset=""utf-8""><span>Want to make it personal? </span><span>Have it custom stamped! We love </span><span>the look of</span><span> a name or </span><span>initials</span><span> in the bottom right corner. You can add custom stamping to your order </span><a title=""Custom Stamping Product Page"" href=""https://gladandyoungstudio.com/products/gold-foil-custom-stamping?_pos=1&amp;_sid=d30201f3a&amp;_ss=r"" target=""_blank"" rel=""noopener"">HERE</a><span>, and </span><span>leave a note on the cart page with what you would like added. </span></p>",Glad & Young Studio,Office Supplies > General Office Supplies > Paper Products > Notebooks & Notepads > Journals,Accessories,"Accessories, Custom Stamp, Featured, Shop, vegetable tanned",False,Title,Happy Hour,,,,,,,,TJO-HAPY,425.242846875,shopify,continue,manual,55.0,,True,True,,,,,'22025963,,,,False,Refillable Traveler's Journal | Glad & Young Studio,"The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Notebook holds three 5x7in notebooks and is refillable, fun, and totally addicting.",961.0,,,,,,,,,,,,,,,,,,,,oz,,16.03,active,"type:notebook, color:happy-hour, material:leather, material:vegetable-tanned, material:hand-marbled, pattern:marbled, use:travel, use:work, intent:vacation-pack, intent:organize-essentials, need:organized, need:durable, problem:travel-size, price-tier:mid-31-80, stock:featured, attr:constantly-making-lists, attr:perfect-companion, attr:constantly-making, attr:making-lists, attr:lists-and-keeping, attr:keeping-things, ai-flag:schema-complete"
luggage-tag-studio-sale-only,Luggage Tag (Studio Sale only!),"<p> </p>
<p>A leather luggage tag that's sure to soothe your wanderlust and will be the perfect companion when you take that much needed vacation.<br><br>Don't forget to add a little shine with our<span> </span><a href=""https://gladandyoungstudio.com/products/gold-foil-custom-stamping"" title=""gold foil stamping and customization product page"">gold foil stamping</a>. </p>
<p>*All of our marbled items are one-of-a kind, the item you will be receiving will not be the exact one pictured. Please choose from a colorful or neutral palette.  </p>
<p><strong>Measures:</strong><br></p>
<p>• 4.5in adjustable strap<br>• 2.75in wide, 4.5in tall </p>",Glad & Young Studio,Uncategorized,Accessories,"Accessories, Featured, Marbled, Travel",False,Marbling Color Palette,Peachtree Street,,,,,,,,SS-LUG-PCHS,14.1747615625,shopify,continue,manual,36.0,,True,True,,,,,'73042155,,,,False,Glad & Young Studio | Leather Luggage Tag,A leather luggage tag that's sure to soothe your wanderlust and will be the perfect companion when you board that that plane in 2021.,,,,,,,,,,,,,,,,,,,,,oz,,10.64,active,"type:luggage-tag, type:tincture, color:peachtree-street, material:leather, material:gold, pattern:marbled, use:travel, intent:vacation-pack, need:durable, price-tier:mid-31-80, stock:featured, attr:soothe-your-wanderlust, attr:perfect-companion, ai-flag:schema-complete"
striped-travelers-journal,Striped Traveler's Journal,"<p>The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Journal holds three <meta charset=""utf-8""><span data-mce-fragment=""1"">A5 (</span><span data-mce-fragment=""1"">8.25x5.5</span><span data-mce-fragment=""1"">in)</span> notebooks and is refillable, fun, and totally addicting.</p>
<p>Full Grain, vegetable tanned leather cover and elastic closure.<br></p>
<p><meta charset=""utf-8""><span>Want to make it personal? </span><span>Have it custom stamped! We love </span><span>the look of</span><span> a name or </span><span>initials</span><span> in the bottom right corner. You can add custom stamping to your order </span><a title=""Custom Stamping Product Page"" href=""https://gladandyoungstudio.com/products/gold-foil-custom-stamping?_pos=1&amp;_sid=d30201f3a&amp;_ss=r"" rel=""noopener"" target=""_blank"">HERE</a><span>, and </span><span>leave a note on the cart page with what you would like added. </span></p>",Glad & Young Studio,Office Supplies > General Office Supplies > Paper Products > Notebooks & Notepads > Journals,Accessories,"Accessories, Custom Stamp, Featured, Shop, vegetable tanned",False,Title,White Stripes,,,,,,,,TJO-STRI,425.242846875,shopify,continue,manual,55.0,,True,True,,,,,'91607787,,,,False,Refillable Traveler's Journal | Glad & Young Studio,"The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Notebook holds three 5x7in notebooks and is refillable, fun, and totally addicting.",961.0,,,,,,,,,,,,,,,,,,,,oz,,16.03,active,"type:notebook, color:white-stripes, material:leather, material:vegetable-tanned, pattern:striped, use:travel, use:work, intent:vacation-pack, intent:organize-essentials, need:organized, need:durable, problem:travel-size, price-tier:mid-31-80, stock:featured, attr:constantly-making-lists, attr:perfect-companion, attr:constantly-making, attr:making-lists, attr:lists-and-keeping, feature:elastic-closure, ai-flag:schema-complete"
travelers-journal-sakura,Traveler's Journal,"<p><strong><img></strong><br>The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Journal holds three A5 (8.25x5.5in) notebooks and is refillable, fun, and totally addicting.</p>
<p>Full Grain, metallic plated, vegetable tanned leather cover and elastic closure.<br></p>
<p><meta charset=""utf-8""><span>Want to make it personal? </span><span>Have it custom stamped! We love </span><span>the look of</span><span> a name or </span><span>initials</span><span> in the bottom right corner. You can add custom stamping to your order </span><a rel=""noopener"" title=""Custom Stamping Product Page"" href=""https://gladandyoungstudio.com/products/gold-foil-custom-stamping?_pos=1&amp;_sid=d30201f3a&amp;_ss=r"" target=""_blank"">HERE</a><span>, and </span><span>leave a note on the cart page with what you would like added. </span></p>",Glad & Young Studio,Office Supplies > General Office Supplies > Paper Products > Notebooks & Notepads > Journals,Accessories,"Accessories, Custom Stamp, Featured, Shop, vegetable tanned",False,Title,Sakura,,,,,,,,TJO-SAK,425.242846875,shopify,continue,manual,55.0,,True,True,,,,,'85906155,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/TravelersJournal_Sakura_1.png?v=1773159831,1.0,,False,Refillable Traveler's Journal | Glad & Young Studio,"The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Notebook holds three 5x7in notebooks and is refillable, fun, and totally addicting.",961.0,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/TravelersJournal_Sakura_1.png?v=1773159831,oz,,16.03,active,"type:notebook, color:sakura, material:leather, material:vegetable-tanned, use:travel, use:work, intent:vacation-pack, intent:organize-essentials, need:organized, need:durable, problem:travel-size, price-tier:mid-31-80, stock:featured, attr:constantly-making-lists, attr:perfect-companion, attr:constantly-making, attr:making-lists, attr:lists-and-keeping, attr:keeping-things, ai-flag:schema-complete"
travelers-journal-disco-disco,Traveler's Journal,"<p><strong></strong><br>The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Journal holds three A5 (8.25x5.5in) notebooks and is refillable, fun, and totally addicting.</p>
<p>Full Grain, metallic plated, vegetable tanned leather cover and elastic closure.<br></p>
<p><meta charset=""utf-8""><span>Want to make it personal? </span><span>Have it custom stamped! We love </span><span>the look of</span><span> a name or </span><span>initials</span><span> in the bottom right corner. You can add custom stamping to your order </span><a href=""https://gladandyoungstudio.com/products/gold-foil-custom-stamping?_pos=1&amp;_sid=d30201f3a&amp;_ss=r"" title=""Custom Stamping Product Page"" target=""_blank"" rel=""noopener"">HERE</a><span>, and </span><span>leave a note on the cart page with what you would like added. </span></p>",Glad & Young Studio,Office Supplies > General Office Supplies > Paper Products > Notebooks & Notepads > Journals,Accessories,"Accessories, Custom Stamp, Featured, Shop, vegetable tanned",False,Title,Disco Disco,,,,,,,,TJO-DISCO,425.242846875,shopify,continue,manual,55.0,,True,True,,,,,'84988651,,,,False,Refillable Traveler's Journal | Glad & Young Studio,"The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Notebook holds three 5x7in notebooks and is refillable, fun, and totally addicting.",961.0,,,,,,,,,,,,,,,,,,,,oz,,16.03,active,"type:notebook, color:disco-disco, material:leather, material:vegetable-tanned, use:travel, use:work, intent:vacation-pack, intent:organize-essentials, need:organized, need:durable, problem:travel-size, price-tier:mid-31-80, stock:featured, attr:constantly-making-lists, attr:perfect-companion, attr:constantly-making, attr:making-lists, attr:lists-and-keeping, attr:keeping-things, ai-flag:schema-complete"
travelers-journal-brown,Traveler's Journal,"<p><strong></strong><br><br>The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Journal holds three A5 (8.25x5.5in) notebooks and is refillable, fun, and totally addicting.</p>
<p>Full Grain, vegetable tanned leather cover and elastic closure.<br></p>
<p><meta charset=""utf-8""><span>Want to make it personal? </span><span>Have it custom stamped! We love </span><span>the look of</span><span> a name or </span><span>initials</span><span> in the bottom right corner. You can add custom stamping to your order </span><a href=""https://gladandyoungstudio.com/products/gold-foil-custom-stamping?_pos=1&amp;_sid=d30201f3a&amp;_ss=r"" title=""Custom Stamping Product Page"" target=""_blank"" rel=""noopener"">HERE</a><span>, and </span><span>leave a note on the cart page with what you would like added. </span></p>",Glad & Young Studio,Office Supplies > General Office Supplies > Paper Products > Notebooks & Notepads > Journals,Accessories,"Accessories, Custom Stamp, Featured, Shop, vegetable tanned",False,Title,Brown,,,,,,,,TJO-CAFE,425.242846875,shopify,continue,manual,55.0,,True,True,,,,,'31874027,,,,False,Refillable Traveler's Journal | Glad & Young Studio,"The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Notebook holds three 5x7in notebooks and is refillable, fun, and totally addicting.",961.0,,,,,,,,,,,,,,,,,,,,oz,,16.03,active,"type:notebook, color:brown, material:leather, material:vegetable-tanned, use:travel, use:work, intent:vacation-pack, intent:organize-essentials, need:organized, need:durable, problem:travel-size, price-tier:mid-31-80, stock:featured, attr:constantly-making-lists, attr:perfect-companion, attr:constantly-making, attr:making-lists, attr:lists-and-keeping, attr:keeping-things, ai-flag:schema-complete"
inviting-affairs-paperie-sweet-to-the-core-sunny-angel,inviting affairs paperie - Sweet to the Core Sunny Angel,,inviting affairs paperie,Uncategorized,,Stickers,False,Title,Default Title,,,,,,,,IAP-SONNY,1.0,shopify,continue,manual,4.0,,True,True,,,,,'60835307,,,,False,,,,,,,,,,,,,,,,,,,,,,,g,,2.0,active,"price-tier:budget-0-30, attr:inviting-affairs-paperie, attr:affairs-paperie, attr:core-sunny-angel, attr:inviting-affairs, attr:core-sunny, ai-flag:needs-review"
stadium-sling-sakura,Stadium Sling,"<p><span data-sheets-root=""1"">If it has to be clear, it better be cute. </span></p>
<p><span data-sheets-root=""1"">Our Stadium Sling is arena-approved and concert-ready so you can breeze through security and head straight to the fun. Designed to hold your essentials and stay put while you’re jumping, dancing, or doing the wave, our crowd favorite hands-free style is made for movement. </span><span data-sheets-root=""1"">Customize yours with a bold strap in your favorite team’s colors (or just your vibe). </span></p>
<p><span data-sheets-root=""1"">Handmade by our small team in Atlanta with our signature attention to detail, this is the ultimate go-anywhere accessory for game day, festival weekends, and every adventure in between.</span></p>
<p class=""p1""><br><b>Features:</b><br>• Vinyl bag, adjustable waist strap, and brass hardware.<br><br><meta charset=""utf-8""><b>Measures:</b><br><span>• 9in wide, 6.5in tall, 1.5in deep</span><br><span>• Shorter strap adjustable from 34in - 46in</span><br><meta charset=""utf-8""><span>• Longer strap adjustable from 46in - 58in</span></p>",Glad & Young Studio,Luggage & Bags > Fanny Packs,Bag,"Bag, Fanny, Featured, Shop",False,Title,Sakura,,Strap Length,Shorter Strap (adjustable from 34-46in),,,,,STAD-SAK,396.89332375,shopify,continue,manual,130.0,,True,True,,,,,'12593387,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/StadiumSling_Sakura_1.png?v=1773160272,1.0,,False,Clear Fanny Pack Stadium Bag | Glad and Young Studio,"Our Stadium Sling is arena-approved and concert-ready so you can breeze through security and head straight to the fun. Handmade with love in Atlanta, GA. Follow along @gladandyoungstudio.",104.0,female,adult,,,True,,,,,,,True,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/StadiumSling_Sakura_1.png?v=1773160272,oz,,46.37,active,"type:sling, type:tea, color:sakura, size:shorter-strap-adjustable-from-34-46in, material:brass, use:travel, use:outdoor, intent:statement-piece, intent:organize-essentials, intent:vacation-pack, need:noise-cancelling, price-tier:premium-81-200, stock:featured, attr:stadium, feature:strap, attr:adjustable, feature:strap-adjustable, attr:46in, attr:shorter, ai-flag:schema-complete"
leather-bookmark-disco-disco,Leather Bookmark,,Glad & Young Studio,Uncategorized,Accessories,,False,Title,Disco Disco,,,,,,,,BOOK-DISCO,0.0,shopify,continue,manual,18.0,,True,True,,,,,'17388011,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/Bookmark_Smut_DiscoDisco_1_1.png?v=1772038071,1.0,,False,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/Bookmark_Smut_DiscoDisco_2_1.png?v=1772038071,lb,,2.0,active,"color:disco-disco, material:leather, need:durable, price-tier:budget-0-30, attr:young-studio, attr:glad, ai-flag:needs-review"
