id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,active_online,weight,weight_unit,length,width,height,dimensions_unit,supply_price,retail_price,loyalty_value,loyalty_value_default,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Soberish_Kirkwood,inventory_Soberish_Kirkwood,reorder_point_Soberish_Kirkwood,restock_level_Soberish_Kirkwood,outlet_tax_Soberish_Serenbe,inventory_Soberish_Serenbe,reorder_point_Soberish_Serenbe,restock_level_Soberish_Serenbe
45e6f54f-3036-4930-917e-acbabff7d1a9,a-bar-above-bar-spoon,855450007631,,,,A Bar Above Bar Spoon (Gold),"<p>They're heavy. They're balanced. They think you look great today, by the way. These bar spoons are calibrated for balance: With a heavy, weighted bolt on the end, they <em>definitely</em><span> </span>know how to stir up a great drink!</p>
<p>Designed by our co-founder for ergonomics, comfort, and speed.<strong><br /><br />Smooth handle<span> </span></strong>stirs comfortably, without friction on the hand.<br /><strong>Extra weight and balance</strong><span> </span>help the bar spoon glide effortlessly around your mixing glass, perfectly chilling your drinks.<br /><strong>Easy enough for a beginner but built for experts:</strong><span> </span>The perfect bar spoon for your first cocktail or your busiest shift.<br /><strong>Ultra-durable</strong>: Made from stainless steel 304 with a polished mirror finish.</p>",Mixology Sets & Gifts,,,,,,,,1,,LB,,,,IN,8.6,15.00,,0.817,,,Faire,Faire,,1,1,Default Tax,5,2,0,Default Tax,0,,
8bcc1bdf-78f0-492e-8cee-06542008b2c0,a-bar-above-bar-spoon-silver,silverspoon,,,,A Bar Above Bar Spoon (Silver),"<p>They're heavy. They're balanced. They think you look great today, by the way. These bar spoons are calibrated for balance: With a heavy, weighted bolt on the end, they <em>definitely</em><span> </span>know how to stir up a great drink!</p>
<p>Designed by our co-founder for ergonomics, comfort, and speed.<strong><br /><br />Smooth handle<span> </span></strong>stirs comfortably, without friction on the hand.<br /><strong>Extra weight and balance</strong><span> </span>help the bar spoon glide effortlessly around your mixing glass, perfectly chilling your drinks.<br /><strong>Easy enough for a beginner but built for experts:</strong><span> </span>The perfect bar spoon for your first cocktail or your busiest shift.<br /><strong>Ultra-durable</strong>: Made from stainless steel 304 with a polished mirror finish.</p>",Mixology Sets & Gifts,,,,,,,,1,,LB,,,,IN,7.2,15.00,,0.817,,,Faire,Faire,,1,1,Default Tax,7,,,Default Tax,0,,
6587fc4d-3b65-40f7-a920-8cf6bce3177f,a-bar-above-long-and-short-picks-gold-,855450007587,,,,A Bar Above Long and Short Picks (Gold),"<p><strong>Get ready to garnish! </strong>From the simple-but-classy Martini with an olive to the wildest Bloody Mary, these cocktail picks<strong> </strong>let your garnish creativity run wild.<strong><br /></strong></p>
<p>Choose the 4"" picks for smaller or stemmed glasses like Old Fashioned, lowball, bucket, coupe, martini, or cocktail glasses.  Choose the 8"" picks for taller glasses like highballs, Collins, or pint.  Or simply choose the combo set for six of each!</p>
<p><strong>Here's why you're going to love your new picks:</strong></p>
<p><strong>Made to Last: </strong>These picks are made from<strong><span> </span>food-grade stainless steel 304.</strong>(That's the good stuff!) We even<span> </span><strong>reinforce the welded balls<span> </span></strong>on the end so they are made to last!<br /><strong>Lookin’ Sharp: </strong>Sharp enough to pierce the freshest olive, these picks come in two lengths, made to work with any cocktail glass. Dress up your Martini with a classy pick, or go all out and get creative! These picks are ready to take your garnish game to the next level.<strong><br />Reusable and Environmentally-Friendly: </strong>No more plastic in the landfill and no more splinters in your drinks!<br /><strong>Reuse these forever</strong>, and you’ll never buy cocktail picks again!<strong><br />The Host(ess) with the Most(est): </strong>Don’t stop with cocktails! These picks are great for sandwiches, appetizers, hors d’oeuvres, and canapés. You can even use them for dips and fondue!</p>",Mixology Sets & Gifts,,,,,,,,1,,LB,,,,IN,7.2,25.00,,1.361,,,Faire,Faire,,1,1,Default Tax,8,,,Default Tax,0,,
37698fb2-ca19-49c7-80f8-f753d68fe0eb,a-bar-above-long-and-short-picks-silver-,855450007112,,,,A Bar Above Long and Short Picks (Silver),"<p><strong>Get ready to garnish! </strong>From the simple-but-classy Martini with an olive to the wildest Bloody Mary, these cocktail picks<strong> </strong>let your garnish creativity run wild.<strong><br /></strong></p>
<p>Choose the 4"" picks for smaller or stemmed glasses like Old Fashioned, lowball, bucket, coupe, martini, or cocktail glasses.  Choose the 8"" picks for taller glasses like highballs, Collins, or pint.  Or simply choose the combo set for six of each!</p>
<p> </p>
<p><strong>Here's why you're going to love your new picks:</strong></p>
<p><strong>Made to Last: </strong>These picks are made from<strong><span> </span>food-grade stainless steel 304.</strong>(That's the good stuff!) We even<span> </span><strong>reinforce the welded balls<span> </span></strong>on the end so they are made to last!<br /><strong>Lookin’ Sharp: </strong>Sharp enough to pierce the freshest olive, these picks come in two lengths, made to work with any cocktail glass. Dress up your Martini with a classy pick, or go all out and get creative! These picks are ready to take your garnish game to the next level.<strong><br />Reusable and Environmentally-Friendly: </strong>No more plastic in the landfill and no more splinters in your drinks!<br /><strong>Reuse these forever</strong>, and you’ll never buy cocktail picks again!<strong><br />The Host(ess) with the Most(est): </strong>Don’t stop with cocktails! These picks are great for sandwiches, appetizers, hors d’oeuvres, and canapés. You can even use them for dips and fondue!</p>",Mixology Sets & Gifts,,,,,,,,1,,LB,,,,IN,6.8,25.00,,1.361,,,Faire,Faire,,1,1,Default Tax,11,,,Default Tax,6,,
2434aec4-2b07-41da-9610-f5dece80a572,a-bar-above-short-gold-cocktail-picks-12pc,855450007563,,,,A Bar Above Short Picks (Gold),"<p><strong>Get ready to garnish! </strong>From the simple-but-classy Martini with an olive to the wildest Bloody Mary, these cocktail picks<strong> </strong>let your garnish creativity run wild.<strong><br /></strong></p>
<p>Choose the 4"" picks for smaller or stemmed glasses like Old Fashioned, lowball, bucket, coupe, martini, or cocktail glasses.</p>
<p><strong>Here's why you're going to love your new picks:</strong></p>
<p><strong>Made to Last: </strong>These picks are made from<strong><span> </span>food-grade stainless steel 304.</strong>(That's the good stuff!) We even<span> </span><strong>reinforce the welded balls<span> </span></strong>on the end so they are made to last!<br /><strong>Lookin’ Sharp: </strong>Sharp enough to pierce the freshest olive, these picks come in two lengths, made to work with any cocktail glass. Dress up your Martini with a classy pick, or go all out and get creative! These picks are ready to take your garnish game to the next level.<strong><br />Reusable and Environmentally-Friendly: </strong>No more plastic in the landfill and no more splinters in your drinks!<br /><strong>Reuse these forever</strong>, and you’ll never buy cocktail picks again!<strong><br />The Host(ess) with the Most(est): </strong>Don’t stop with cocktails! These picks are great for sandwiches, appetizers, hors d’oeuvres, and canapés. You can even use them for dips and fondue!</p>",Mixology Sets & Gifts,,,,,,,,1,,LB,,,,IN,7.2,20.00,,1.089,,,Faire,Faire,,1,1,Default Tax,7,5,0,Default Tax,0,,
5aa6758e-96c9-4dcd-b7a3-79323223ccbb,a-bar-above-short-cocktail-picks-stainless-steel-12-pc,374863S,,,,A Bar Above Short Picks (Silver),"<p><strong>Get ready to garnish! </strong>From the simple-but-classy Martini with an olive to the wildest Bloody Mary, these cocktail picks<strong> </strong>let your garnish creativity run wild.<strong><br /></strong></p>
<p>Choose the 4"" picks for smaller or stemmed glasses like Old Fashioned, lowball, bucket, coupe, martini, or cocktail glasses.</p>
<p><strong>Here's why you're going to love your new picks:</strong></p>
<p><strong>Made to Last: </strong>These picks are made from<strong><span> </span>food-grade stainless steel 304.</strong>(That's the good stuff!) We even<span> </span><strong>reinforce the welded balls<span> </span></strong>on the end so they are made to last!<br /><strong>Lookin’ Sharp: </strong>Sharp enough to pierce the freshest olive, these picks come in two lengths, made to work with any cocktail glass. Dress up your Martini with a classy pick, or go all out and get creative! These picks are ready to take your garnish game to the next level.<strong><br />Reusable and Environmentally-Friendly: </strong>No more plastic in the landfill and no more splinters in your drinks!<br /><strong>Reuse these forever</strong>, and you’ll never buy cocktail picks again!<strong><br />The Host(ess) with the Most(est): </strong>Don’t stop with cocktails! These picks are great for sandwiches, appetizers, hors d’oeuvres, and canapés. You can even use them for dips and fondue!</p>",Mixology Sets & Gifts,,,,,,,,1,,LB,,,,IN,5.2,20.00,,1.089,,,Faire,Faire,,1,1,Default Tax,5,5,0,Default Tax,3,,
73307b44-d5da-4c61-ad5d-83f5af3d108f,abstinence-blood-orange,850050187004,,,,Abstinence Blood Orange Aperitif,"<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><strong>Product Details: </strong></p>
<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]"">Every exceptional event or social gathering calls for a top-tier, delectable non-alcoholic aperitif. Abstinence Spirits offers the full richness and intricate flavor complexity without the presence of alcohol. Infused with natural botanicals including Cinchona Bark and notably African Wormwood, providing a distinctive South African twist. It serves as a tantalizing appetizer for guilt-free Spritzes or low-ABV cocktails.</p>
<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""> </p>
<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><strong>How it Tastes: </strong></p>
<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]"">Delicately sweetened with hints of ginger and mint, providing a refreshing touch. Enjoy it over ice, add club soda for effervescence, or use it as a zero-proof substitute in your preferred cocktail recipes. The ginger's spiciness imparts a comforting warmth with every sip.</p>
<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""> </p>
<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><strong>Ingredients: </strong></p>
<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]"">Water, vegetable glycerin (soy), natural extracts, natural botanical distillates, citric acid, and potassium sorbate and sodium sorbate as preservatives.</p>",Aperitif,,,,,,,,1,,LB,,,,IN,19.6,30.00,,1.634,,,Abstinence,Airgoods,,1,1,Default Tax,7,5,0,Default Tax,3,,
9727feea-d722-4962-9800-aa38998797cc,abstinence-cape-agave,850050187097,,,,Abstinence Cape Agave,"<p class="""" data-rte-preserve-empty=""true"" data-pm-slice=""1 1 []""><strong><span>Product Details:</span></strong><span><br /></span>Cape Agave, a premium non-alcoholic mezcal alternative that reimagines the intensity and ritual of traditional mezcal with a unique botanical twist. Crafted with African sage, agave, arabica bean, mesquite, and fresh jalapeño, this zero-proof spirit delivers the complexity, depth, and smoky character mezcal lovers crave.</p>
<p data-rte-preserve-empty=""true"">Whether you're mixing up a Spicy Margarita, a Paloma, or enjoying it neat over ice, Cape Agave captures the soul of the agave plant with layered, nuanced flavor. It's perfect for the mindful drinker who refuses to compromise on taste or experience.</p>
<p data-rte-preserve-empty=""true""> </p>
<p class="""" data-rte-preserve-empty=""true""><strong><span>How it Tastes:</span></strong><span><br />Toasted oak, jalapeno and citrus on the nose with smoky earthiness and a hint of sweetness from the</span><br /><span>agave. It is balanced by a firm acidity and complex citrus backbone with a touch of salinity.</span></p>
<p class="""" data-rte-preserve-empty=""true""> </p>
<p class="""" data-rte-preserve-empty=""true""><strong><span>Ingredients: </span></strong><span>Filtered water, distilled botanicals, citric acid, salt, agave, cane sugar, natural flavors, mushroom glycolipids. </span></p>",Mezcal,,,,,,,,1,0,LB,0,0,0,IN,24.5,36.00,,1.960,,,Abstinence,Airgoods,,1,1,Default Tax,7,,,Default Tax,3,,
04e9982d-ae11-40e8-a6e9-c997aac5fe6e,abstinence-cape-citrus,850050187035,,,,Abstinence Cape Citrus,"<p class="""" data-rte-preserve-empty=""true"" data-pm-slice=""1 1 []""><strong><span>Product Details:</span></strong><span><br />Abstinence Cape Citrus is an upscale collection of non-alcoholic beverages suitable for any event. Crafted using a specialized distillation technique, this refined range of non-alcoholic drinks offers sophistication. </span></p>
<p class="""" data-rte-preserve-empty=""true""><span>Capturing the essence of summer, our Abstinence Cape Citrus is a vibrant blend featuring prominent citrus notes alongside spices and aromatic elements. Free from added flavorings or colorings, our beverages are non-alcoholic with zero sugar content.</span></p>
<p class="""" data-rte-preserve-empty=""true""> </p>
<p class="""" data-rte-preserve-empty=""true""><strong><span>How it Tastes:</span></strong><span><br />A lively citrus blend infused with comforting cinnamon and herbal accents. This concoction offers a harmonious fusion of lemon, orange, and grapefruit flavors, complemented by the comforting warmth of cinnamon and the savory touch of fennel, with a subtle hint of black pepper. </span><span>It serves as an excellent replacement for citrus-infused vodka or gin in various cocktail recipes.</span></p>
<p class="""" data-rte-preserve-empty=""true""> </p>
<p class="""" data-rte-preserve-empty=""true""><strong><span>Ingredients:</span></strong><span><br />Citric acid, distilled botanicals, water, and potassium sorbate as preservatives.</span></p>",Botanical Spirit,,,,,,,,1,,LB,,,,IN,26.33,36.00,,1.960,,,Abstinence,Airgoods,,1,1,Default Tax,10,5,0,Default Tax,4,,
786c47bc-b39e-4f92-95af-793118a83a96,abstinence-cape-floral,850050187042,,,,Abstinence Cape Floral,"<p class="""" data-rte-preserve-empty=""true"" data-pm-slice=""1 1 []""><strong><span>Product Details:</span></strong><span><br />Abstinence Cape Floral is an exquisitely floral blend, enhanced by juniper berries, angelica root, and coriander, imparting its signature touch with subtle bitterness, herbal nuances, and hints reminiscent of nettle. </span></p>
<p class="""" data-rte-preserve-empty=""true""><span>A sip reminiscent of the lush blooms of Table Mountain during spring, enriched by the indigenous Cape rose geranium renowned for its heavenly fragrance and distinctive rose-like scent. Free from any added flavorings or colorings, this beverage is non-alcoholic and contains zero sugar. </span></p>
<p class="""" data-rte-preserve-empty=""true""><strong><span>How it Tastes:</span></strong><span><br />A delicately floral concoction crafted with Juniper berries, Angelica root, and Coriander. Its subtly bitter, herbal profile, reminiscent of faint nettle notes, makes it a perfect match for premium tonics. </span></p>
<p class="""" data-rte-preserve-empty=""true""><span>I</span><strong><span>ngredients:</span></strong><span><br />Citric acid, distilled botanicals, water, and potassium sorbate as preservatives.</span></p>",Botanical Spirit,,,,,,,,1,,LB,,,,IN,26.33,36.00,,1.960,,,Abstinence,Airgoods,,1,1,Default Tax,11,5,0,Default Tax,4,,
